app_id,date,is_recommended,hours,user_id
1850570,2022-04-12,True,21.1,2666585
1549250,2022-10-13,False,1.0,14019470
1325200,2021-11-27,True,179.3,1313593
1325200,2022-04-16,True,434.7,5413380
1544020,2022-12-09,True,14.0,11576827
1325200,2021-05-03,True,31.3,13223723
1496790,2022-10-21,False,1.9,11468823
678950,2018-03-20,True,198.6,1988901
1850570,2022-10-26,True,55.8,7084245
1544020,2022-12-02,True,13.4,6742593
1325200,2021-02-06,True,13.8,4947147
1325200,2021-02-07,True,29.1,11527374
1549250,2022-10-12,False,4.4,11244869
536270,2021-02-07,False,3.4,6641598
1325200,2021-06-21,True,112.2,10957994
1496790,2022-10-24,True,22.2,11716493
1325200,2021-02-08,True,22.6,11948313
536270,2020-12-10,True,3.9,13240229
1544020,2022-12-30,False,4.0,6042002
1325200,2021-02-07,True,47.3,13902
1496790,2022-11-25,True,12.2,2248432
1325200,2021-03-13,True,90.6,4773075
1850570,2022-12-16,True,189.1,4959291
1766740,2022-12-17,True,4.5,498341
1850570,2022-11-28,True,2.5,9097738
1544020,2022-12-02,False,0.9,14206956
1544020,2022-12-02,True,3.3,11895517
536270,2021-01-30,True,1.6,7404022
1766740,2022-12-10,True,3.8,7721384
1766740,2022-12-09,True,3.6,5262002
1325200,2021-12-16,True,21.9,9839689
1549250,2022-10-21,True,9.2,9594898
1850570,2022-07-04,True,124.2,425677
1549250,2022-10-12,True,12.1,11965587
1325200,2021-03-04,True,85.7,2163756
1766740,2022-12-09,True,3.7,4064156
1496790,2022-12-26,False,5.1,5710776
1325200,2021-02-05,True,7.5,6598069
1325200,2021-10-03,True,17.9,4541752
1325200,2021-02-07,True,117.5,2666585
1325200,2021-07-30,True,121.2,13402839
1850570,2022-04-22,True,17.9,4077636
536270,2020-09-01,False,0.2,4996991
1063660,2022-11-18,True,21.8,2326281
678950,2021-10-12,True,10.2,8400346
1766740,2022-12-25,True,4.4,4761554
1325200,2021-02-08,True,26.3,13180914
1850570,2022-12-07,True,21.9,14115318
1325200,2021-07-14,False,233.9,11341225
1325200,2022-04-29,True,145.3,10483696
1549250,2022-10-16,False,8.1,4231488
1496790,2022-12-25,False,7.5,12126969
1496790,2022-10-22,False,1.4,10193269
678950,2018-07-03,True,27.9,5203022
1325200,2021-12-03,True,150.8,3558733
1549250,2022-10-16,True,7.0,3562965
536270,2022-06-06,False,13.7,7286172
1544020,2022-12-01,False,1.1,8322064
1325200,2021-09-16,True,198.1,8876951
1496790,2022-11-23,True,66.5,11721563
1325200,2021-02-05,True,111.0,7819122
450540,2021-11-25,True,10.6,6776776
444640,2022-08-02,True,12.6,1354808
257850,2021-01-29,True,61.2,4901709
751780,2019-04-18,True,6.5,2928827
1238860,2022-06-21,True,21.8,10108107
1090630,2022-06-08,True,353.0,14157674
450540,2022-12-14,True,6.7,9789065
1509510,2022-04-10,True,8.8,11494694
750920,2020-12-13,True,16.8,7106782
1238860,2021-10-29,True,4.2,765827
537180,2020-09-23,True,23.1,9672347
240,2022-05-25,True,30.8,2943388
787480,2021-10-12,True,66.2,8796608
626690,2018-02-25,True,407.4,6605246
955900,2021-12-14,True,12.3,12435376
1238860,2021-06-08,False,5.7,8655138
501590,2017-04-09,True,5.3,10114376
673880,2019-07-05,True,12.7,10588433
1090630,2020-12-01,False,28.5,5539847
50130,2017-02-03,True,28.6,4675476
10500,2020-06-28,True,74.8,10728232
460950,2022-07-07,True,5.0,8107770
1238860,2020-06-11,False,1.5,5435945
1509510,2021-11-29,True,0.8,1988901
403640,2021-06-30,True,15.0,6593072
750920,2022-08-06,True,59.2,10185534
219150,2017-11-06,True,9.8,8363204
286690,2022-10-17,True,8.3,8584441
527430,2022-10-03,True,682.4,445999
319630,2019-05-31,True,21.4,8856624
1238860,2020-06-24,True,27.5,13278974
803330,2020-12-27,True,14.6,9568238
222480,2014-06-24,True,0.7,5068578
1238860,2021-07-05,True,6.7,7983268
211820,2013-12-20,True,47.1,11927189
286690,2020-04-06,True,16.2,13324087
269210,2022-03-31,True,6.6,2554027
403640,2021-10-04,True,47.9,472322
1238860,2021-10-14,True,92.7,10172495
319630,2018-07-15,True,33.6,5572563
445980,2018-06-12,True,69.0,12861741
200710,2020-10-07,True,50.1,13504286
450540,2021-04-26,True,37.5,4479774
489520,2019-03-10,True,5.8,12336213
714010,2021-10-29,True,0.6,10550149
1238860,2020-08-16,True,552.2,11358694
1276790,2021-12-04,True,22.6,13086492
221380,2019-08-02,True,142.1,12204940
977950,2022-06-24,True,8.5,4573748
244450,2014-12-30,False,112.0,11415445
629760,2019-12-21,True,515.5,4953213
40800,2014-06-29,True,8.9,7994283
286690,2018-05-18,True,12.8,11005856
41500,2019-03-16,False,34.3,7905757
270150,2022-02-13,True,42.5,9864795
636480,2021-06-03,True,53.1,13768835
736260,2020-01-27,True,7.5,13983399
15620,2021-10-02,True,4.2,9665878
222480,2016-11-04,True,8.7,6489001
10500,2016-11-15,True,29.4,6282064
367500,2021-05-12,True,117.1,5796098
261570,2020-02-25,False,7.5,11250992
319630,2017-07-15,True,14.3,11786974
445980,2018-07-05,True,26.9,4229425
445980,2021-07-28,True,7.1,13081458
394310,2018-01-19,True,14.9,4407617
750920,2020-07-18,True,13.7,3794158
1238860,2022-12-02,True,132.9,12537620
286690,2022-01-07,True,9.1,3112626
606880,2019-10-23,False,20.3,8044156
9420,2016-05-06,True,61.2,6752886
750920,2021-02-09,True,25.3,187659
41500,2020-08-30,False,4.3,1988901
690830,2019-02-06,True,13.1,11431284
601840,2020-06-15,True,50.9,12042340
252610,2019-10-16,False,7.0,11250992
914800,2020-06-14,True,5.3,10297111
690830,2019-04-08,False,27.9,12060476
40800,2013-08-19,True,58.5,11695298
17410,2019-07-27,True,9.8,11531269
450540,2020-12-11,True,9.1,7993544
40800,2014-10-26,True,13.5,12675438
205100,2021-07-03,True,13.7,7861463
955900,2019-01-19,True,72.0,13912831
15100,2012-04-03,True,18.1,7627362
460950,2021-12-27,True,5.0,12366987
205100,2020-05-15,True,17.8,11590162
240,2021-01-16,True,38.4,5754231
307780,2016-12-29,True,76.1,5567061
286690,2019-09-14,True,13.0,10199210
257850,2018-11-15,False,15.7,11662614
22300,2022-05-08,True,21.5,2141825
1139900,2020-10-28,True,5.1,11250992
867210,2022-05-11,True,12.0,9079867
22300,2018-04-30,False,6.3,11220929
304930,2015-05-10,True,18.7,5844590
286690,2017-01-18,False,38.7,3523771
7940,2020-04-23,True,10.5,13324087
736260,2020-09-20,True,98.9,6436576
736260,2020-06-26,True,6.4,7894292
714010,2022-02-09,True,13.8,12332525
629760,2022-10-09,False,0.4,6643538
629760,2020-01-31,True,64.2,3908865
444640,2020-11-23,False,0.1,2937543
40970,2016-12-30,True,25.4,5906537
261570,2020-03-02,True,29.2,4479541
2060130,2022-09-25,True,12.2,9943095
319630,2016-11-25,True,21.6,6980318
367450,2022-06-18,True,46.0,8457279
270150,2022-12-11,True,29.0,6827079
629760,2020-03-27,False,420.2,5870768
285920,2022-03-31,True,3.0,3535042
489520,2019-08-29,True,3.4,6220265
714120,2019-11-27,True,4.7,4430334
319630,2018-03-04,True,17.8,10185534
636480,2021-07-25,True,51.2,6312641
211820,2018-06-23,True,351.0,10588433
1238860,2021-02-26,True,41.2,9356574
326460,2019-02-25,True,10.7,6848148
50130,2018-09-25,True,63.3,7861463
235600,2016-02-10,True,495.6,11587439
288470,2020-10-10,False,5.1,11250992
278080,2017-02-20,True,6.9,4864632
287450,2017-07-29,True,20.1,3530154
882100,2020-04-24,True,27.9,12618967
460950,2020-07-28,False,0.2,6036656
15100,2020-11-07,True,24.8,1748108
704850,2022-09-11,True,19.3,682205
4700,2017-09-25,True,77.9,5927222
322500,2020-07-17,True,6.4,10185534
50130,2015-08-03,True,12.9,1877123
750920,2021-12-25,True,12.3,154107
1352080,2021-09-19,False,6.3,10462888
606880,2019-09-29,True,42.5,12548461
40800,2014-04-16,True,7.5,13860159
403640,2021-09-28,True,20.0,9727666
298630,2015-11-27,True,6.1,5596918
240,2022-07-11,True,43.8,1754135
200710,2017-02-09,True,22.7,14104722
445980,2022-06-18,True,40.7,8457279
383150,2022-01-31,True,13.1,2522177
450540,2021-06-12,True,93.2,12832139
50130,2018-11-21,True,14.1,13914053
205100,2020-02-01,True,6.7,13443415
211820,2022-05-13,True,12.7,8563876
1549250,2022-12-05,False,1.1,6643538
1194630,2020-10-30,True,10.6,7066018
502520,2016-12-23,True,44.2,13912831
1850570,2022-12-08,True,33.7,3626111
304930,2015-09-14,True,21.9,6328723
32470,2019-03-13,True,45.2,5382320
450540,2018-08-23,True,57.9,6317882
48190,2020-01-14,True,29.7,120177
32470,2014-12-19,True,68.1,5799888
750920,2019-08-31,True,18.2,13990541
1238860,2022-02-02,True,46.0,2149461
641320,2021-05-30,True,17.5,1307456
337000,2019-03-09,True,4.6,6766819
40800,2019-01-18,False,3.7,11250992
222480,2020-03-28,True,10.9,323886
240,2018-05-17,True,939.6,5185350
445980,2018-05-30,True,81.5,11097359
953490,2021-01-17,True,11.2,8688691
249130,2022-05-21,True,30.0,5881688
48190,2022-07-03,True,18.5,5218328
21690,2019-02-16,True,15.7,13990541
15100,2013-10-15,True,26.5,187659
